"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
19C0001109,CHRISTUS CABRINI SURGERY CENTER LLC,3436 MASONIC DR.,ALEXANDRIA,LA,71301,,(318) 427-6500,99,1,0,99,96,3,1,98,95,4,1,97,91,7,2,96,,1234,393,32,01/01/2023,12/31/2023
19C0001129,ADVANCED SURGERY CENTER OF METAIRIE LLC,720 VETERANS MEMORIAL BLVD SUITE 100,METAIRIE,LA,70005,,(504) 293-4953,,,,,,,,,,,,,,,,,4,,,,,
19C0001130,ADVANCED SURGERY CENTER OF NORTHERN LOUISIANA LLC,1601 LOUISVILLE AVE,MONROE,LA,71201,,(318) 998-5555,98,2,0,99,92,6,2,95,92,7,1,96,91,9,0,97,,1313,391,30,01/01/2023,12/31/2023
19C0001133,OIL CENTER SURGICAL PLAZA,1000 WEST PINHOOK,LAFAYETTE,LA,70503,,(337) 571-0600,99,1,0,99,96,3,1,98,93,6,1,97,92,7,1,97,,935,368,39,01/01/2023,12/31/2023
20C0001012,INTERMED PA DBA GENERATIONS,84 MARGINAL WAY SUITE 1000,PORTLAND,ME,04101,,(207) 347-2898,98,2,0,99,94,5,1,96,94,5,1,97,90,9,1,96,,783,244,31,01/01/2023,12/31/2023
21C0001043,KAISER FOUNDATION HEALTH PLAN OF THE MID-ATLANTIC STATES INC.,10810 CONNECTICUT AVE,KENSINGTON,MD,20895,,(301) 816-7284,98,2,0,99,94,5,1,97,91,7,2,96,88,8,4,94,,2138,794,37,01/01/2023,12/31/2023
21C0001063,CLINICAL ASSOCIATES PA DBA CLINICAL ASSOCIATES ASC,515 FAIRMOUNT AVE SUITE 100A,TOWSON,MD,21286,,(410) 494-1315,95,5,0,98,89,10,1,94,80,16,4,93,79,18,3,92,2;3,1245,82,7,01/01/2023,12/31/2023
21C0001082,SUMMIT AMBULATORY SURGICAL CENTER LLC,"12435 PARK POTOMAC AVENUE, SUITE 410",ROCKVILLE,MD,20854,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
21C0001142,COLUMBIA UROLOGICAL SURGICAL CENTER LLC,"10710 CHARTER DR, STE 140",COLUMBIA,MD,21044,,(410) 772-7019,,,,,,,,,,,,,,,,,4,,,,,
21C0001145,JOHNS HOPKINS SURGERY CENTER SERIES DBA LUTHERVILLE SURGERY CENTER,10755 FALLS ROAD SUITE 110 B,LUTHERVILLE,MD,21093,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
21C0001152,SUMMIT AMBULATORY SURGICAL CENTER LLC,"6820 HOSPITAL DR., # 200",BALTIMORE,MD,21237,,(410) 391-6131,,,,,,,,,,,,,,,,,4,,,,,
21C0001168,SUMMIT AMBULATORY SURGICAL CENTER LLC,"3407 WILKENS AVE., # 200",BALTIMORE,MD,21229,,(410) 644-0929,,,,,,,,,,,,,,,,,4,,,,,
21C0001190,SUMMIT AMBULATORY SURGICAL CENTER LLC,"21 CROSSROADS DR., # 450",OWINGS MILLS,MD,21117,,(410) 581-8140,,,,,,,,,,,,,,,,,4,,,,,
21C0001247,SUMMIT AMBULATORY SURGICAL CENTER LLC,"6535 N. CHARLES ST., # 625",BALTIMORE,MD,21204,,(410) 825-5454,,,,,,,,,,,,,,,,,4,,,,,
21C0001281,SURGERY CENTER OF CHEVY CHASE,"5530 WISCONSIN AVE, SUITE 1620",CHEVY CHASE,MD,20815,,(301) 718-9800,96,4,0,98,88,10,2,93,83,15,2,93,82,16,2,93,,2585,570,22,01/01/2023,12/31/2023
21C0001297,SUMMIT AMBULATORY SURGICAL CENTER LLC,"3333 N. CALVERT ST., # 600",BALTIMORE,MD,21218,,(410) 467-7665,,,,,,,,,,,,,,,,,4,,,,,
21C0001351,JOHNS HOPKINS SCS,6420 ROCKLEDGE DR SUITE 2100,BETHESDA,MD,20817,,(443) 442-2700,,,,,,,,,,,,,,,,,4,,,,,
21C0001362,SUMMIT AMBULATORY SURGICAL CENTER LLC,"18109 PRICE PHILIP DR., # 270",SILVER SPRING,MD,20906,,(301) 774-2525,,,,,,,,,,,,,,,,,4,,,,,
21C0001421,SUMMIT AMBULATORY SURGICAL CENTER LLC,1111 MT HERMON ROAD,SALISBURY,MD,21804,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
21C0001445,SUMMIT AMBULATORY SURGICAL CENTER LLC,"21 CROSSROADS DR., # 220",OWINGS MILLS,MD,21117,,(410) 581-1600,,,,,,,,,,,,,,,,,4,,,,,
21C0001449,RIVA ROAD SURGICAL CENTER LLC,2635 RIVA RD STE. 118,ANNAPOLIS,MD,21401,,(410) 571-9595,,,,,,,,,,,,,,,,,4,,,,,
21C0001451,JOHNS HOPKINS SURGERY CENTERS SERIES DBA WHITE MARSH SURGERY CENTER SERIES,4924 CAMPBELL BLVD SUITE 250,NOTTINGHAM,MD,21236,,(443) 442-2700,,,,,,,,,,,,,,,,,4,,,,,
21C0001461,SUMMIT AMBULATORY SURGICAL CENTER LLC,"826 WASHINGTON RD., # 215",WESTMINSTER,MD,21157,,(410) 876-1633,,,,,,,,,,,,,,,,,4,,,,,
21C0001466,UPPER BAY SURGERY CENTER LLC,360 EAST PULASKI HWY SUITE 2A,ELKTON,MD,21921,,(410) 620-3348,98,2,0,99,92,6,2,95,90,9,1,96,90,9,1,96,,1295,358,28,01/01/2023,12/31/2023
21C0001476,SURGCENTER OF GLEN BURNIE LLC,308 HOSPITAL DR SUITE 102,GLEN BURNIE,MD,21061,,(410) 760-8100,96,4,0,98,89,9,2,94,88,11,1,95,83,15,2,94,,1306,340,26,01/01/2023,12/31/2023
21C0001477,WESTMINSTER SURGERY CENTER,826 WASHINGTON RD STE 131,WESTMINSTER,MD,21157,,(410) 871-9440,98,2,0,99,94,5,1,97,95,4,1,97,89,11,0,96,,897,359,40,01/01/2023,12/31/2023
21C0001491,MAPLE LAWN SURGERY CENTER,7625 MAPLE LAWN BLVD STE. 110,FULTON,MD,20759,,(301) 490-5025,98,2,0,99,94,4,2,96,89,10,1,95,89,10,1,96,,1405,386,27,01/01/2023,12/31/2023
21C0001494,SURGCENTER OF SOUTHERN MARYLAND,9001 WOODYARD RD SUITE B,CLINTON,MD,20735,,(301) 868-4950,97,3,0,98,91,7,2,94,78,16,6,91,76,21,3,91,2,958,285,30,01/01/2023,12/31/2023
21C0001496,SUMMIT AMBULATORY SURGICAL CENTER LLC,"201 PLUMTREE RD.,  # 200",BEL AIR,MD,21015,,(410) 803-0089,,,,,,,,,,,,,,,,,4,,,,,
21C0001498,TIMONIUM SURGERY CENTER LLC,"1954 GREENSPRING DR, LL18",TIMONIUM,MD,21093,,(410) 560-3301,97,3,0,99,93,6,1,96,88,11,1,95,86,12,2,94,,1315,433,33,01/01/2023,12/31/2023
21C0001502,PRINCE FREDERICK SURGERY CENTER LLC,70 SHERRY LANE SUITE 101,PRINCE FREDERICK,MD,20678,,(443) 486-4230,,,,,,,,,,,,,,,,,4,,,,,
21C0001508,PICCARD SURGERY CENTER LLC,1330 PICCARD DR STE 102,ROCKVILLE,MD,20850,,(301) 208-7350,97,3,0,98,90,9,1,94,86,12,2,94,84,14,2,93,,1286,309,24,01/01/2023,12/31/2023
21C0001514,BETHESDA CHEVY CHASE SURGERY CENTER LLC DBA BETHESDA CHEVY CHASE SURGERY CENTER,6931 ARLINGTON RD SUITE E,BETHESDA,MD,20814,,(301) 968-3184,,,,,,,,,,,,,,,,,4,,,,,
21C0001519,SURGCENTER OF WHITE MARSH LLC,11605 CROSSROADS CIR,BALTIMORE,MD,21220,,(410) 344-0003,,,,,,,,,,,,,,,,,4,,,,,
21C0001524,LEONARDTOWN SURGERY CENTER LLC,"40900 MERCHANTS LANE, SUITE 200",LEONARDTOWN,MD,20650,,(301) 690-2203,98,2,0,99,94,5,1,97,92,8,0,96,90,9,1,96,,1199,332,28,01/01/2023,12/31/2023
21C0001525,HAGERSTOWN SURGERY CENTER LLC,11236 ROBINWOOD DR SUITE 201,HAGERSTOWN,MD,21742,,(240) 347-4836,98,2,0,99,89,9,2,94,86,12,2,95,85,13,2,94,,926,314,34,01/01/2023,12/31/2023
21C0001531,SURGCENTER OF SILVER SPRING LLC,8710 CAMERON ST STE 100,SILVER SPRING,MD,20910,,(301) 326-2921,95,5,0,97,87,10,3,92,86,11,3,93,80,17,3,92,,743,142,19,01/01/2023,12/31/2023
21C0001538,ADVANCED SURGERY CENTER OF BETHESDA LLC,6430 ROCKLEDGE DR SUITE 160,BETHESDA,MD,20817,,(301) 312-6144,95,4,1,97,88,10,2,93,75,20,5,90,70,26,4,88,,1089,209,19,01/01/2023,12/31/2023
21C0001539,GAITHERSBURG AMBULATORY SURGERY CENTER,655 WATKINS MILL RD,GAITHERSBURG,MD,20879,,(301) 816-6812,99,1,0,99,95,4,1,97,92,7,1,96,88,10,2,95,,3028,965,32,01/01/2023,12/31/2023
21C0001551,MONOCACY SURGERY CENTER LLC,4991 NEW DESIGN RD SUITE 103,FREDERICK,MD,21703,,(301) 363-5858,98,2,0,99,92,7,1,95,90,8,2,95,88,10,2,95,,955,263,28,01/01/2023,12/31/2023
21C0001556,KAISER FOUNDATION HEALTH PLAN OF THE MID-ATLANTIC STATES INC,1221 MERCANTILE LANE,LARGO,MD,20774,,(301) 618-5500,97,3,0,98,94,5,1,97,87,11,2,95,80,16,4,91,,3057,933,31,01/01/2023,12/31/2023
21C0001560,SOUTH BALTIMORE COUNTY ASC LBN KAISER FOUNDATION HEALTH PLAN OF THE MID-ATLANTIC STATES INC,1701 TWIN SPRINGS RD,HALETHORPE,MD,21227,,(301) 816-2424,96,3,1,97,93,6,1,96,89,9,2,95,85,12,3,93,,2339,713,30,01/01/2023,12/31/2023
21C0001562,SURGICAL SPECIALTY CENTER OF MID ATLANTIC LLC,6430 ROCKLEDGE DR. SUITE 110,BETHESDA,MD,20817,,(240) 630-8241,,,,,,,,,,,,,,,,,4,,,,,
21C0001566,POTOMAC VIEW SURGERY CENTER LLC,6710 OXON HILL RD SUITE 150,OXON HILL,MD,20745,,(240) 766-2734,92,7,1,95,89,9,2,94,81,16,3,92,72,23,5,88,,772,153,20,01/01/2023,12/31/2023
21C0001568,POINT OF ROCKS SURGERY CENTER LLC,1901 LOCKHOUSE DR,POINT OF ROCKS,MD,21777,,(301) 874-2211,99,1,0,99,92,7,1,96,87,13,0,96,87,13,0,96,,743,210,28,01/01/2023,12/31/2023
21C0001575,SURGCENTER OF THE POTOMAC LLC,6508 ROCK SPRING DR STE 100,BETHESDA,MD,20817,,(240) 783-0282,96,3,1,98,88,10,2,93,82,14,4,91,75,23,2,90,,633,132,21,01/01/2023,12/31/2023
21C0001580,SUMMIT AMBULATORY SURGICAL CENTER LLC,"7704 MATAPEAKE BUSINESS DRIVE, # 300",BRANDYWINE,MD,20613,,(301) 645-8838,,,,,,,,,,,,,,,,,4,,,,,
21C0001581,HARBOR HEIGHTS SURGERY CENTER,6710 OXON HILL RD SUITE 500,OXON HILL,MD,20745,,(240) 493-7533,98,2,0,99,94,4,2,96,87,11,2,94,83,15,2,93,,1112,303,27,01/01/2023,12/31/2023
21C0001583,GLEN ECHO SURGERY CENTER,5550 FRIENDSHIP BLVD SUITE 100,CHEVY CHASE,MD,20815,,(240) 534-2972,94,5,1,97,90,8,2,94,83,12,5,92,78,17,5,91,,883,195,22,01/01/2023,12/31/2023
21C0001587,SUMMIT AMBULATORY SURGICAL CENTER LLC,"7580 BUCKINGHAM BLVD, SUITE 100",HANOVER,MD,21076,,(443) 738-8124,,,,,,,,,,,,,,,,,4,,,,,
21C0001590,DIALYSIS ACCESS SERVICES LLC,1666 SULPHUR SPRINGS RD,BALTIMORE,MD,21227,,(410) 536-5400,95,4,1,97,90,8,2,94,86,11,3,94,77,17,6,89,,553,100,18,01/01/2023,12/31/2023
21C0001591,JOHNS HOPKINS SURGERY CENTERS SERIES DBA KNOLL NORTH SURGERY CENTER,5450 KNOLL NORTH DR STE 301,COLUMBIA,MD,21045,,(443) 546-1750,,,,,,,,,,,,,,,,,4,,,,,
21C0001594,DIALYSIS ACCESS SERVICES LLC,2405 YORK RD SUITE 100,TIMONIUM,MD,21093,,(410) 536-5400,93,7,0,97,92,5,3,95,97,2,1,98,90,10,0,97,2;3,340,39,11,01/01/2023,12/31/2023
21C0001611,SUMMIT AMBULATORY SURGICAL CENTER,19851 OBSERVATION DRIVE SUITE 455,GERMANTOWN,MD,20876,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
21C0001618,JOHNS HOPKINS SURGERY CENTER SERIES,10803 FALLS RD SUITE 3100,LUTHERVILLE,MD,21093,,(443) 442-2700,,,,,,,,,,,,,,,,,4,,,,,
21C0001632,SUMMIT AMBULATORY SURGICAL CENTER LLC,810 BESTGATE ROAD SUITE 200,ANNAPOLIS,MD,21401,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
21C0001636,NSPC SURGERY CENTER OF MARYLAND,6710 OXON HILL ROAD SUITE 550B,OXON HILL,MD,21031,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
21C0001650,JOHNS HOPKINS SURGERY CENTERS SERIES,5759 CEDAR LANE,COLUMBIA,MD,21044,,(443) 718-3738,,,,,,,,,,,,,,,,,4,,,,,
21C0001663,JOHNS HOPKINS SURGERY CENTER SERIES,10755 FALLS ROAD PAVILION 1 SUITE 480,LUTHERVILLE,MD,21093,,(410) 616-7250,,,,,,,,,,,,,,,,,4,,,,,
22C0001011,ARC WORCESTER CENTER LP DBA WORCESTER SURGICAL CENTER,300 GROVE ST,WORCESTER,MA,01605,,(508) 754-0700,97,3,0,99,93,6,1,96,88,10,2,95,87,11,2,94,,1178,379,32,01/01/2023,12/31/2023
22C0001023,CATARACT AND LASER CENTER WEST LLC,171 INTERSTATE DR,WEST SPRINGFIELD,MA,01089,,(413) 737-5500,,,,,,,,,,,,,,,,,4,,,,,
23C0001020,SURGICAL CARE CENTER OF MICHIGAN,750 EAST BELTLINE NE,GRAND RAPIDS,MI,49525,,(616) 588-6520,96,3,1,98,86,11,3,91,91,6,3,95,89,9,2,96,,1367,279,21,01/01/2023,12/31/2023
23C0001031,GENESIS ASC PARTNERS LLC DBA GENESIS SURGERY CENTER,3400 EAST JOLLY RD,LANSING,MI,48910,,(517) 708-3363,97,2,1,98,92,7,1,95,89,9,2,95,87,12,1,96,,662,213,38,01/01/2023,12/31/2023
23C0001053,EAST PARIS SURGICAL CENTER LLC,1000 EAST PARIS AVE S.E.,GRAND RAPIDS,MI,49546,,(616) 464-3430,98,2,0,99,88,10,2,93,92,6,2,96,91,8,1,96,,1520,392,27,01/01/2023,12/31/2023
23C0001080,WALKER SURGICAL CENTER LLC,3300 WALKER VIEW DR.,WALKER,MI,49544,,(616) 588-6560,,,,,,,,,,,,,,,,,4,,,,,
23C0001085,TOWNE CENTRE SURGERY CENTER LLC,4599 TOWN CENTER RD.,SAGINAW,MI,48604,,(989) 497-3096,98,2,0,99,88,9,3,92,91,8,1,96,90,10,0,97,,1724,377,22,01/01/2023,12/31/2023
23C0001109,CLARKSTON SURGERY CENTER,5701 BOW POINTE DR,CLARKSTON,MI,48346,,(248) 922-4800,99,1,0,99,92,7,1,96,90,9,1,96,88,12,0,96,,1263,434,34,01/01/2023,12/31/2023
23C0001114,SURGICAL INSTITUTE OF MONROE,1051 SOUTH TELEGRAPH RD,MONROE,MI,48161,,(734) 244-5383,99,1,0,99,93,6,1,96,93,6,1,96,90,9,1,96,,1414,559,40,01/01/2023,12/31/2023
23C0001128,RED CEDAR SURGERY CENTER PLLC,5668 OKEMOS RD,HASLETT,MI,48840,,(517) 481-2883,97,3,0,99,92,7,1,95,94,5,1,97,92,8,0,97,,1373,649,47,01/01/2023,12/31/2023
23C0001137,GRAND RAPIDS SURGICAL SUITES PLLC,2505 EAST PARIS AVE SUITE 105,GRAND RAPIDS,MI,49546,,(616) 551-3459,,,,,,,,,,,,,,,,,4,,,,,
23C0001139,HEALTH POINTE,15100 WHITTAKER WAY,GRAND HAVEN,MI,49417,,(616) 935-6329,98,2,0,99,93,6,1,96,90,8,2,95,85,13,2,94,,2544,541,21,01/01/2023,12/31/2023
23C0001140,MICHIGAN OUTPATIENT SURGICAL SOLUTIONS,46325 WEST 12 MILE ROAD SUITE 100,NOVI,MI,48377,,(248) 618-2121,,,,,,,,,,,,,,,,,4,,,,,
23C0001144,NORTHERN MICHIGAN SURGICAL SUITES,825 MOLL DRIVE,BOYNE CITY,MI,49712,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
24C0001010,CARRIS HEALTH LLC,"1310 1ST STREET S, PO BOX 773",WILLMAR,MN,56201,,(000) 000-0000,99,1,0,99,94,5,1,96,88,11,1,95,84,15,1,94,,2878,784,27,01/01/2023,12/31/2023
24C0001019,LANDMARK SURGERY CENTER,7115 TAMARACK RD SUITE 200,WOODBURY,MN,55125,,(651) 261-1717,99,1,0,99,93,6,1,96,94,5,1,97,90,9,1,96,,1356,452,33,01/01/2023,12/31/2023
24C0001052,SUMMIT ORTHOPEDICS LTD DBA PLYMOUTH SURGERY CENTER,15700 37TH AVENUE NORTH SUITE 210,PLYMOUTH,MN,55446,,(651) 968-5662,98,2,0,99,95,4,1,97,92,5,3,95,86,11,3,94,,1183,330,28,01/01/2023,12/31/2023
24C0001053,ORSESHOE SURGERY CENTER LLC DBA LAKEWOOD SURGERY CENTER,1542 GOLF COURSE RD SUITE 105,GRAND RAPIDS,MN,55744,,(218) 326-3937,,,,,,,,,,,,,,,,,4,,,,,
24C0001060,CENTRACARE SURGERY CENTER LLC,1900 CENTRACARE CIR,ST CLOUD,MN,56303,,(320) 229-4964,98,2,0,99,93,6,1,96,89,9,2,95,84,14,2,94,,3128,920,29,01/01/2023,12/31/2023
24C0001078,VADNAIS HEIGHTS SURGERY CENTER,3580 ARCADE ST,VADNAIS HEIGHTS,MN,55127,,(651) 968-5662,99,1,0,99,91,8,1,95,92,7,1,96,90,9,1,96,,1349,545,40,01/01/2023,12/31/2023
24C0001088,MINNETONKA AMBULATORY SURGERY CENTER LLC,15450 HWY 7 SUITE 200,MINNETONKA,MN,55345,,(763) 581-8950,,,,,,,,,,,,,,,,,4,,,,,
24C0001091,EAGAN SURGERY CENTER,2620 EAGAN WOODS DR,EAGAN,MN,55121,,(651) 968-5662,98,2,0,99,92,7,1,95,91,8,1,95,89,10,1,96,,1291,504,39,01/01/2023,12/31/2023
24C0001115,ESSENTIA HEALTH SURGERY CENTERS DULUTH LLC DBA ESSENTIA HEALTH SURGERY CENTER MILLER HILL,1600 MILLER TRUNK HIGHWAY BUILDING D SUITE 101,DULUTH,MN,55811,,(218) 606-9200,,,,,,,,,,,,,,,,,4,,,,,
25C0001028,SOUTHERN SURGERY CENTER,3688 VETERANS MEMORIAL DR SUITE 100,HATTIESBURG,MS,39401,,(601) 554-7533,98,2,0,99,95,4,1,97,97,2,1,97,95,5,0,98,,1186,454,39,01/01/2023,12/31/2023
25C0001046,COLUMBUS ORTHOPAEDIC OUTPATIENT CENTER,640 LEIGH DR,COLUMBUS,MS,39705,,(662) 328-7123,98,2,0,99,89,7,4,93,91,6,3,95,84,14,2,93,2,651,181,28,01/01/2023,12/31/2023
25C0001058,CENTER FOR DIGESTIVE HEALTH LLC,589 GARFIELD ST,TUPELO,MS,38801,,(662) 377-4173,97,3,0,99,93,5,2,95,92,6,2,96,89,9,2,96,,1596,371,23,01/01/2023,12/31/2023
25C0001069,G I DIAGNOSTIC AND THERAPEUTIC CENTER LLC,"7668 AIRWAYS BLVD, BUILDING # 2",SOUTHAVEN,MS,38671,,(662) 349-6950,,,,,,,,,,,,,,,,,4,,,,,
26C0001021,CREEKWOOD SURGERY CENTER LP,211 NORTHEAST 54TH ST SUITE 100,KANSAS CITY,MO,64118,,(816) 988-2553,96,3,1,98,91,7,2,95,87,11,2,95,84,14,2,94,,1420,370,26,01/01/2023,12/31/2023
26C0001028,SAINT LUKES GI DIAGNOSTICS LLC,4321 WASHINGTON STE. 5600,KANSAS CITY,MO,64111,,(816) 416-8353,96,3,1,98,90,8,2,94,85,11,4,93,83,14,3,93,,1476,385,26,01/01/2023,12/31/2023
26C0001060,SOUTH COUNTY OUTPATIENT ENDOSCOPY SERVICES LP DBA SOUTH COUNTY OUTPATIENT ENDOSCOPY SERVICES,5139 MATTIS RD  SUITE 100,ST LOUIS,MO,63128,,(314) 729-9780,98,2,0,99,94,5,1,96,91,7,2,96,89,9,2,95,,1199,486,41,01/01/2023,12/31/2023
26C0001061,MANCHESTER AMBULATORY SURGERY CENTER LP DBA DES PERES SQUARE SURGERY CENTER,1050 OLD DES PERES RD SUITE 150,SAINT LOUIS,MO,63131,,(314) 775-2264,96,4,0,98,91,8,1,95,87,11,2,94,86,13,1,95,,2446,724,30,01/01/2023,12/31/2023
26C0001066,MIDWEST DIGESTIVE HEALTH CENTER LLC,3601 NORTHEAST RALPH POWELL RD,LEES SUMMIT,MO,64064,,(816) 251-1255,98,2,0,99,96,3,1,97,95,4,1,97,91,8,1,97,,1620,451,28,01/01/2023,12/31/2023
26C0001069,BRIARCLIFF AMBULATORY SURGERY CENTER LP DBA BRIARCLIFF SURGERY CENTER,4150 NORTH MULBERRY DR SUITE 100,KANSAS CITY,MO,64116,,(816) 214-4364,98,2,0,99,93,6,1,96,90,9,1,95,89,9,2,95,,1581,424,27,01/01/2023,12/31/2023
26C0001080,MID RIVERS SURGERY CENTER,5401 VETERANS MEMOIRAL PARKWAY,ST PETERS,MO,63376,,(636) 441-0906,97,3,0,98,92,7,1,96,88,11,1,96,91,8,1,96,,482,125,26,01/01/2023,12/31/2023
26C0001082,CHESTERFIELD SURGERY CENTER,17050 BAXTER RD SUITE 110,CHESTERFIELD,MO,63005,,(636) 537-0122,98,2,0,99,93,6,1,96,89,10,1,96,87,12,1,95,,925,297,32,01/01/2023,12/31/2023
26C0001087,ADVANCED AMBULATORY SURGICAL CARE LP,"10448 OLD OLIVE ST RD, SUITE 100",CREVE COEUR,MO,63141,,(314) 743-8091,98,2,0,99,93,6,1,96,92,6,2,96,86,12,2,94,,919,243,26,01/01/2023,12/31/2023
26C0001088,SURGERY CENTER OF COLUMBIA LP,305 NORTH KEENE ST SUITE 107,COLUMBIA,MO,65201,,(573) 256-6272,97,2,1,98,92,7,1,95,84,13,3,94,84,14,2,94,,680,272,40,01/01/2023,12/31/2023
26C0001097,RIVERSIDE AMBULATORY SURGERY CENTER,100 VILLAGE SQUARE,HAZELWOOD,MO,63042,,(314) 373-8931,97,3,0,99,92,7,1,96,90,8,2,95,87,11,2,94,,1848,482,26,01/01/2023,12/31/2023
26C0001109,WEBSTER AMBULATORY SURGERY CENTER LP DBA LANDMARK SURGERY CENTER,9701 LANDMARK PARKWAY DR SUITE 100,SAINT LOUIS,MO,63127,,(314) 729-0100,98,2,0,99,92,7,1,95,89,10,1,95,83,15,2,93,,948,276,29,01/01/2023,12/31/2023
26C0001112,FRONTENAC AMBULATORY SURGERY AND SPINE CARE CENTER LP DBA FRONTENAC SURGERY AND SPINE CARE CENTER,10435 CLAYTON RD SUITE 110,FRONTENAC,MO,63131,,(314) 995-3990,98,2,0,99,92,6,2,95,94,4,2,96,90,8,2,96,,1259,333,26,01/01/2023,12/31/2023
26C0001116,MASON RIDGE AMBULATORY SURGERY CENTER DBA GATEWAY ENDOSCOPY CENTER,12855 NORTH FORTY DR SUITE 150,SAINT LOUIS,MO,63141,,(314) 336-1130,99,1,0,100,94,5,1,97,95,4,1,97,95,4,1,98,,1126,369,33,01/01/2023,12/31/2023
26C0001117,TWIN CITIES AMBULATORY SURGERY CENTER LP,1101 W. GANNON DR.,FESTUS,MO,63028,,(636) 931-5997,97,2,1,98,91,7,2,95,89,7,4,94,83,13,4,92,,796,299,38,01/01/2023,12/31/2023
26C0001138,OLD TESSON SURGERY CENTER,12639 OLD TESSON SUITE 130,ST. LOUIS,MO,63128,,(314) 748-4225,98,2,0,99,91,8,1,95,88,11,1,95,87,12,1,95,,670,284,42,01/01/2023,12/31/2023
26C0001148,EMERSON SURGERY CENTER LLC,"633 EMERSON RD, SUITE 140",ST LOUIS,MO,63141,,(314) 991-9922,98,2,0,99,93,6,1,96,92,7,1,96,92,7,1,97,,1113,337,30,01/01/2023,12/31/2023
26C0001157,OLIVE AMBULATORY SURGERY CENTER DBA NORTH CAMPUS SURGERY CENTER,633 EMERSON RD SUITE 120,SAINT LOUIS,MO,63141,,(314) 991-2090,95,4,1,97,94,5,1,96,70,30,0,92,71,24,5,89,3,132,31,23,01/01/2023,12/31/2023
26C0001162,TOTAL JOINT CENTER OF THE NORTHLAND,200 NORTHEAST 54TH ST SUITE 200,KANSAS CITY,MO,64118,,(816) 499-8500,99,1,0,99,94,5,1,96,96,2,2,98,93,6,1,97,,464,248,53,01/01/2023,12/31/2023
27C0001020,YELLOWSTONE SURGERY CENTER LLC,1144 N. 28TH ST.,BILLINGS,MT,59101,,(406) 237-5900,98,2,0,99,92,7,1,96,90,8,2,95,90,9,1,96,,1048,297,28,01/01/2023,12/31/2023
27C0001028,YELLOWSTONE SURGERY CENTER LLC DBA YELLOWSTONE SURGERY CENTER WEST,1739 SPRING CREEK DRIVE,BILLINGS,MT,59102,,(000) 000-0000,97,3,0,98,90,9,1,94,93,6,1,96,89,10,1,96,,1204,485,40,01/01/2023,12/31/2023
27C0001029,WEST BOZEMAN SURGERY CENTER LLC DBA BOZEMAN OUTPATIENT SURGERY CENTER,875 SOUTH COTTONWOOD ROAD SUITE 100,BOZEMAN,MT,59718,,(000) 000-0000,98,2,0,99,93,6,1,96,90,8,2,95,88,11,1,96,,1634,549,34,01/01/2023,12/31/2023
28C0001032,NORTH PLATTE SURGERY CENTER LLC,621 WEST FRANCIS ST,NORTH PLATTE,NE,69101,,(308) 534-5400,98,2,0,99,94,5,1,97,89,10,1,95,85,13,2,94,,1217,397,33,01/01/2023,12/31/2023
29C0001036,PARKWAY SURGERY CENTER,100 NORTH GREEN VALLEY PARKWAY SUITE 125,HENDERSON,NV,89074,,(702) 616-4950,97,3,0,98,89,9,2,94,88,10,2,95,85,13,2,94,,1323,286,22,01/01/2023,12/31/2023
29C0001038,LAKE TAHOE SURGERY CENTER,212 ELKS POINT RD SUITE 201,ZEPHYR COVE,NV,89448,,(775) 588-9188,,,,,,,,,,,,,,,,,4,,,,,
29C0001073,DURANGO OUTPATIENT SURGERY CENTER,8530 WEST SUNSET RD SUITE 100,LAS VEGAS,NV,89113,,(702) 789-5700,97,3,0,99,90,8,2,94,90,9,1,96,85,11,4,93,,1019,157,15,01/01/2023,12/31/2023
